CityId,CityName,CountryId,Country,RegionId,Region,ContentId,ContenentId,Contenent,FullId
333,Caledon,48,Canada,8,Northern America,2,2,America,2848333.0
334,Caledonia,48,Canada,8,Northern America,2,2,America,2848334.0
335,Calgary,48,Canada,8,Northern America,2,2,America,2848335.0
336,Camberley,48,Canada,8,Northern America,2,2,America,2848336.0
337,Cambridge,48,Canada,8,Northern America,2,2,America,2848337.0
338,Campbell River,48,Canada,8,Northern America,2,2,America,2848338.0
339,Canada,48,Canada,8,Northern America,2,2,America,2848339.0
340,Candiac,48,Canada,8,Northern America,2,2,America,2848340.0
341,Canmore,48,Canada,8,Northern America,2,2,America,2848341.0
342,Cantley,48,Canada,8,Northern America,2,2,America,2848342.0
343,Castlegar,48,Canada,8,Northern America,2,2,America,2848343.0
344,Charlottetown,48,Canada,8,Northern America,2,2,America,2848344.0
345,Chase,48,Canada,8,Northern America,2,2,America,2848345.0
346,Chatham,48,Canada,8,Northern America,2,2,America,2848346.0
347,Chelsea,48,Canada,8,Northern America,2,2,America,2848347.0
348,Chicoutimi,48,Canada,8,Northern America,2,2,America,2848348.0
349,Chilliwack,48,Canada,8,Northern America,2,2,America,2848349.0
350,Cobble Hill,48,Canada,8,Northern America,2,2,America,2848350.0
351,Cobourg,48,Canada,8,Northern America,2,2,America,2848351.0
352,Cochrane,48,Canada,8,Northern America,2,2,America,2848352.0
353,Cold Lake,48,Canada,8,Northern America,2,2,America,2848353.0
354,Collingwood,48,Canada,8,Northern America,2,2,America,2848354.0
355,Comox Valley,48,Canada,8,Northern America,2,2,America,2848355.0
356,Conception Bay South,48,Canada,8,Northern America,2,2,America,2848356.0
357,Coombs,48,Canada,8,Northern America,2,2,America,2848357.0
358,Coquitlam,48,Canada,8,Northern America,2,2,America,2848358.0
359,Cornwall,48,Canada,8,Northern America,2,2,America,2848359.0
360,Courtenay,48,Canada,8,Northern America,2,2,America,2848360.0
361,Cranbrook,48,Canada,8,Northern America,2,2,America,2848361.0
362,Cultus Lake,48,Canada,8,Northern America,2,2,America,2848362.0
363,Dartmouth,48,Canada,8,Northern America,2,2,America,2848363.0
364,Deep Cove Nova Scotia,48,Canada,8,Northern America,2,2,America,2848364.0
365,Delta,48,Canada,8,Northern America,2,2,America,2848365.0
366,Devonian,48,Canada,8,Northern America,2,2,America,2848366.0
367,Drayton Valley,48,Canada,8,Northern America,2,2,America,2848367.0
368,Drummondville,48,Canada,8,Northern America,2,2,America,2848368.0
369,Duncan,48,Canada,8,Northern America,2,2,America,2848369.0
370,east st paul,48,Canada,8,Northern America,2,2,America,2848370.0
371,Edmonton,48,Canada,8,Northern America,2,2,America,2848371.0
372,Fenelon Falls,48,Canada,8,Northern America,2,2,America,2848372.0
373,Field,48,Canada,8,Northern America,2,2,America,2848373.0
374,Fort Frances,48,Canada,8,Northern America,2,2,America,2848374.0
375,Fort Langley,48,Canada,8,Northern America,2,2,America,2848375.0
376,Fort McMurray,48,Canada,8,Northern America,2,2,America,2848376.0
377,Fort St. John,48,Canada,8,Northern America,2,2,America,2848377.0
378,Fredericton,48,Canada,8,Northern America,2,2,America,2848378.0
379,Gatineau,48,Canada,8,Northern America,2,2,America,2848379.0
380,Georgetown,48,Canada,8,Northern America,2,2,America,2848380.0
