UserId,ContenentId_x,RegionId_x,CountryId_x,CityId_x,FullId,CityId_y,CityName,CountryId_y,Country,RegionId_y,Region,ContentId,ContenentId_y,Contenent
565,3,13,93,2770.0,313932770.0,2770,Kannur,93,India,13,South Asia,3,3,Asia
568,1,4,22,136.0,1422136.0,136,Johannesburg,22,South Africa,4,Southern Africa,1,1,Africa
572,2,8,51,882.0,2851882.0,882,Clovis,51,United States,8,Northern America,2,2,America
574,3,14,106,3551.0,3141063551.0,3551,Singapore,106,Singapore,14,South East Asia,3,3,Asia
577,3,14,107,3577.0,3141073577.0,3577,Chiang Mai,107,Thailand,14,South East Asia,3,3,Asia
580,5,21,163,8571.0,5211638571.0,8571,Lound,163,United Kingdom,21,Western Europe,5,5,Europe
581,4,15,109,5030.0,4151095030.0,5030,Retreat,109,Australia,15,Australia,4,4,Australia & Oceania
584,3,11,69,2277.0,311692277.0,2277,Guangzhou,69,China,11,East Asia,3,3,Asia
585,5,17,125,5838.0,5171255838.0,5838,Cologne,125,Germany,17,Central Europe,5,5,Europe
594,4,15,109,3915.0,4151093915.0,3915,Brisbane,109,Australia,15,Australia,4,4,Australia & Oceania
595,5,19,144,6609.0,5191446609.0,6609,Oslo,144,Norway,19,Northern Europe,5,5,Europe
597,4,15,109,4303.0,4151094303.0,4303,Gold Coast,109,Australia,15,Australia,4,4,Australia & Oceania
603,4,16,115,5506.0,4161155506.0,5506,Christchurch,115,New Zealand,16,Oceania,4,4,Australia & Oceania
620,4,15,109,4756.0,4151094756.0,4756,Mount Gambier,109,Australia,15,Australia,4,4,Australia & Oceania
621,3,12,79,2517.0,312792517.0,2517,Batzra,79,Israel,12,Middle East,3,3,Asia
625,4,16,115,5488.0,4161155488.0,5488,Auckland Central,115,New Zealand,16,Oceania,4,4,Australia & Oceania
627,3,13,93,2690.0,313932690.0,2690,Bengaluru,93,India,13,South Asia,3,3,Asia
630,4,15,109,4630.0,4151094630.0,4630,Margaret River,109,Australia,15,Australia,4,4,Australia & Oceania
633,5,21,158,7195.0,5211587195.0,7195,Antwerp,158,Belgium,21,Western Europe,5,5,Europe
637,2,8,51,848.0,2851848.0,848,Charlotte,51,United States,8,Northern America,2,2,America
638,4,15,109,5267.0,4151095267.0,5267,Townsville,109,Australia,15,Australia,4,4,Australia & Oceania
640,3,13,97,2976.0,313972976.0,2976,Sigiriya,97,Sri Lanka,13,South Asia,3,3,Asia
649,4,15,109,4606.0,4151094606.0,4606,Maiden Gully,109,Australia,15,Australia,4,4,Australia & Oceania
652,2,8,48,554.0,2848554.0,554,Vancouver,48,Canada,8,Northern America,2,2,America
655,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
656,3,14,101,3013.0,3141013013.0,3013,Bali,101,Indonesia,14,South East Asia,3,3,Asia
657,3,14,103,3342.0,3141033342.0,3342,Kerteh,103,Malaysia,14,South East Asia,3,3,Asia
659,3,14,106,3551.0,3141063551.0,3551,Singapore,106,Singapore,14,South East Asia,3,3,Asia
664,4,15,109,5267.0,4151095267.0,5267,Townsville,109,Australia,15,Australia,4,4,Australia & Oceania
667,2,8,51,1716.0,28511716.0,1716,Port Saint Lucie,51,United States,8,Northern America,2,2,America
669,2,8,48,554.0,2848554.0,554,Vancouver,48,Canada,8,Northern America,2,2,America
678,3,12,86,2564.0,312862564.0,2564,Doha,86,Qatar,12,Middle East,3,3,Asia
679,4,15,109,3849.0,4151093849.0,3849,Bilinga,109,Australia,15,Australia,4,4,Australia & Oceania
683,3,14,101,3098.0,3141013098.0,3098,Jakarta,101,Indonesia,14,South East Asia,3,3,Asia
688,5,19,141,6416.0,5191416416.0,6416,Aarhus,141,Denmark,19,Northern Europe,5,5,Europe
689,3,14,106,3551.0,3141063551.0,3551,Singapore,106,Singapore,14,South East Asia,3,3,Asia
690,4,15,109,5399.0,4151095399.0,5399,Wollongong,109,Australia,15,Australia,4,4,Australia & Oceania
694,4,15,109,5045.0,4151095045.0,5045,Rockhampton,109,Australia,15,Australia,4,4,Australia & Oceania
697,3,11,69,2282.0,311692282.0,2282,Hong Kong,69,China,11,East Asia,3,3,Asia
698,3,14,103,3380.0,3141033380.0,3380,Penang,103,Malaysia,14,South East Asia,3,3,Asia
706,3,14,101,3226.0,3141013226.0,3226,Sanur Kaja,101,Indonesia,14,South East Asia,3,3,Asia
708,3,14,101,3285.0,3141013285.0,3285,Ubud,101,Indonesia,14,South East Asia,3,3,Asia
716,3,14,103,3354.0,3141033354.0,3354,Kuala Lumpur,103,Malaysia,14,South East Asia,3,3,Asia
718,3,14,101,3106.0,3141013106.0,3106,Java,101,Indonesia,14,South East Asia,3,3,Asia
724,2,8,51,965.0,2851965.0,965,Dripping Springs,51,United States,8,Northern America,2,2,America
726,4,16,115,5671.0,4161155671.0,5671,Wellington,115,New Zealand,16,Oceania,4,4,Australia & Oceania
727,3,11,69,2282.0,311692282.0,2282,Hong Kong,69,China,11,East Asia,3,3,Asia
728,5,21,163,8166.0,5211638166.0,8166,Colchester,163,United Kingdom,21,Western Europe,5,5,Europe
736,3,14,101,3013.0,3141013013.0,3013,Bali,101,Indonesia,14,South East Asia,3,3,Asia
739,4,15,109,3915.0,4151093915.0,3915,Brisbane,109,Australia,15,Australia,4,4,Australia & Oceania
740,2,8,48,545.0,2848545.0,545,Toronto,48,Canada,8,Northern America,2,2,America
741,5,17,123,5782.0,5171235782.0,5782,Prague,123,Czech Republic,17,Central Europe,5,5,Europe
745,1,4,22,107.0,1422107.0,107,Cape Town Central,22,South Africa,4,Southern Africa,1,1,Africa
746,3,14,101,3140.0,3141013140.0,3140,Kuta,101,Indonesia,14,South East Asia,3,3,Asia
747,3,13,93,2910.0,313932910.0,2910,Varanasi District,93,India,13,South Asia,3,3,Asia
748,3,13,91,2648.0,313912648.0,2648,Dhaka City,91,Bangladesh,13,South Asia,3,3,Asia
